Atividade 2 – Analisando o perfil inovador de uma empresa a partir do Radar da Inovação,,,
Dimensão,Descrição,Nota (1–5),Justificativa (breve)
1. Oferta,O que a empresa oferece ao mercado: produtos e serviços.,5,Lança aeronaves inovadoras com foco em eficiência e sustentabilidade.
2. Plataforma,"Reaproveitamento de componentes, tecnologias ou módulos em diferentes soluções.",4,Plataforma modular permite desenvolvimento de novas versões de aeronaves.
3. Soluções,Capacidade de integrar produtos e serviços para resolver problemas do cliente.,5,"Integra soluções completas para aviação civil, executiva e defesa."
4. Cliente,Conhecimento e atendimento de novas necessidades e comportamentos do cliente.,4,Forte foco no relacionamento B2B e suporte personalizado a companhias aéreas.
5. Experiência do Cliente,Forma como o cliente interage com a empresa e seus produtos/serviços.,4,Experiência do cliente aprimorada com tecnologias embarcadas e conforto.
6. Valor Capturado,Modelos de receita e estratégias de geração de valor.,3,"Modelos de receita diversificados (venda, leasing, serviços de manutenção)."
7. Processos,"Métodos e fluxos internos de produção, desenvolvimento e entrega.",5,Processos produtivos avançados com automação e engenharia de precisão.
8. Organização,"Estrutura, cultura e processos internos de gestão e inovação.",5,Cultura organizacional voltada à inovação e parcerias tecnológicas.
9. Cadeia de Suprimentos,Relações e práticas com fornecedores e parceiros estratégicos.,4,Gestão de fornecedores integrada e rigorosa em qualidade e prazos.
10. Presença,Canais e pontos de contato com o mercado e clientes.,5,Presença global com unidades e centros de manutenção em vários continentes.
11. Rede,"Parcerias, alianças e cooperação com outras instituições.",4,Rede de parcerias com universidades e startups para inovação aberta.
12. Marca,Posicionamento e reputação da marca em relação à inovação.,5,Marca consolidada como referência mundial em aviação regional.
,,,
,,,
soma,53,,
Media,"4,5",,
